date,weather_code,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max,precipitation_hours,sunshine_duration
2025-06-02,51.0,18.275002,21.6,14.0,0.3,13.556282,3.0,54056.004
2025-06-03,3.0,19.050001,25.85,12.45,0.0,16.740969,0.0,55009.58
2025-06-04,61.0,20.702082,27.7,15.6,2.8,20.991426,3.0,50920.19
2025-06-05,51.0,19.33125,22.25,15.75,1.6000001,19.233065,8.0,41666.99
2025-06-06,53.0,18.377085,21.95,14.6,1.5000001,25.113708,6.0,37576.715
2025-06-07,63.0,17.670834,22.45,14.2,5.4,21.109173,6.0,51179.727
2025-06-08,63.0,15.65625,19.7,12.0,7.6,29.46837,7.0,55256.51
2025-06-09,55.0,13.752082,17.75,10.35,3.6,20.39091,10.0,51620.89
2025-06-10,61.0,14.670834,17.95,11.15,5.6000004,19.03665,7.0,12142.506
2025-06-11,51.0,15.781249,20.1,12.25,1.1,23.166916,8.0,48930.758
2025-06-12,1.0,16.589584,22.85,9.0,0.0,16.965895,0.0,57600.0
2025-06-13,3.0,18.670832,24.9,11.7,0.0,15.351793,0.0,57600.0
2025-06-14,0.0,22.977083,30.0,14.75,0.0,17.799076,0.0,57600.0
2025-06-15,53.0,24.014582,32.85,17.6,1.7,23.200455,4.0,47446.867
2025-06-16,51.0,18.858334,22.2,16.25,0.2,20.849718,2.0,38143.293
2025-06-17,3.0,20.160416,25.9,13.4,0.0,10.234705,0.0,54000.0
2025-06-18,3.0,22.277082,27.2,16.3,0.0,18.820976,0.0,48841.53
2025-06-19,3.0,19.160418,22.2,15.25,0.0,21.869074,0.0,57600.0
2025-06-20,3.0,18.077082,23.55,11.15,0.0,9.7880945,0.0,57600.0
2025-06-21,3.0,21.856253,28.6,12.5,0.0,9.0,0.0,57600.0
2025-06-22,3.0,27.05208,34.05,17.3,0.0,14.681866,0.0,57600.0
2025-06-23,61.0,22.977081,27.45,16.85,2.9,29.586325,6.0,53009.79
2025-06-24,61.0,17.852083,22.5,14.1,1.7,27.288855,1.0,29405.803
2025-06-25,61.0,20.297918,24.3,17.35,4.4999995,23.712223,13.0,38679.254
2025-06-26,63.0,21.383333,30.5,14.45,3.3,19.083395,2.0,45663.184
2025-06-27,53.0,18.941666,21.95,16.65,1.5,23.138927,5.0,35216.58
2025-06-28,3.0,21.3,28.05,14.2,0.0,19.164719,0.0,48026.652
2025-06-29,53.0,23.641668,28.3,19.5,1.0,22.419937,4.0,56883.637
2025-06-30,3.0,20.539583,26.6,13.5,0.0,13.755579,0.0,57600.0
2025-07-01,0.0,24.38333,32.8,14.65,0.0,12.971244,0.0,57600.0
2025-07-02,0.0,29.664581,37.6,19.8,0.0,9.9571085,0.0,57600.0
2025-07-03,51.0,23.375,30.4,19.25,0.2,20.12944,1.0,36802.33
2025-07-04,3.0,19.639584,24.9,13.35,0.0,19.95485,0.0,47871.695
2025-07-05,3.0,22.481249,28.65,14.95,0.0,18.119305,0.0,54000.0
2025-07-06,3.0,23.552084,29.35,17.95,0.0,21.392754,0.0,37359.15
2025-07-07,63.0,20.327084,24.65,16.35,6.6,15.062033,5.0,36343.324
2025-07-08,51.0,17.797918,21.45,14.35,0.7,16.38,3.0,44474.5
2025-07-09,53.0,17.4125,21.4,14.7,2.3000002,20.304129,13.0,39831.562
2025-07-10,61.0,17.743752,22.1,15.15,4.2999997,13.647988,5.0,42984.363
2025-07-11,61.0,17.066666,21.85,13.25,6.5,18.9,10.0,27588.395
2025-07-12,63.0,15.710418,17.45,14.4,23.199999,16.848999,20.0,0.0
2025-07-13,63.0,17.89375,21.55,14.9,10.999999,10.957846,11.0,27095.973
2025-07-14,63.0,19.560415,24.1,15.15,8.1,11.213581,5.0,46380.766
2025-07-15,55.0,18.883333,22.05,16.7,3.1000001,17.548845,6.0,40660.82
2025-07-16,63.0,17.283335,20.55,13.35,5.5999994,12.576836,8.0,56117.297
2025-07-17,63.0,16.656248,19.15,13.75,15.299999,19.540573,9.0,28546.324
2025-07-18,51.0,19.368748,22.9,16.25,0.70000005,11.5115595,6.0,48405.266
2025-07-19,1.0,21.360418,26.05,15.75,0.0,8.699793,0.0,55754.367
2025-07-20,3.0,23.433334,28.85,17.45,0.0,10.874741,0.0,55266.008
2025-07-21,65.0,20.0375,22.6,16.05,44.299995,20.316889,18.0,2011.5165
2025-07-22,63.0,18.008333,21.5,14.4,9.4,17.968472,11.0,34078.223
2025-07-23,63.0,17.629168,19.7,15.6,25.300001,20.228188,22.0,0.0
2025-07-24,51.0,19.456251,22.4,16.2,1.4000001,13.31635,10.0,36145.785
2025-07-25,63.0,19.858332,23.55,17.9,7.5999994,15.898188,18.0,41925.008
2025-07-26,51.0,18.835417,20.8,17.2,0.8000001,9.473541,7.0,15882.188
2025-07-27,51.0,19.664583,23.75,15.2,0.70000005,7.570707,5.0,51183.164
2025-07-28,55.0,18.325,22.3,15.5,4.4,17.682194,9.0,36679.598
2025-07-29,51.0,17.097918,20.2,14.1,1.1000001,18.158602,7.0,52969.387
2025-07-30,51.0,17.183332,21.4,12.95,0.1,13.403656,1.0,53004.113
2025-07-31,61.0,16.447916,19.4,14.05,3.1,18.374994,10.0,39123.547
2025-08-01,63.0,17.156252,20.8,14.5,5.5,14.018059,6.0,50234.273
2025-08-02,53.0,17.391665,21.6,13.9,3.1000001,13.288341,10.0,36129.67
2025-08-03,51.0,16.308332,18.9,13.8,1.0,16.928614,7.0,31181.074
2025-08-04,61.0,17.564583,22.2,14.65,8.500001,15.561413,12.0,28800.0
2025-08-05,61.0,17.906248,19.2,15.5,7.8999996,16.048288,14.0,11963.67
2025-08-06,51.0,16.2375,20.35,12.0,0.70000005,17.82091,5.0,51610.734
2025-08-07,3.0,18.418749,24.1,12.65,0.0,10.853866,0.0,47228.625
2025-08-08,3.0,20.7125,26.8,15.45,0.0,15.496736,0.0,36252.812
2025-08-09,3.0,21.760416,28.5,14.85,0.0,10.873251,0.0,50931.688
2025-08-10,3.0,19.847918,23.5,16.2,0.0,18.463821,0.0,50400.0
2025-08-11,3.0,19.152082,25.15,12.1,0.0,6.4799995,0.0,50400.0
2025-08-12,2.0,21.804167,28.8,14.05,0.0,11.367109,0.0,50682.28
2025-08-13,3.0,23.793749,31.5,16.7,0.0,12.245294,0.0,50737.598
2025-08-14,3.0,25.46875,32.75,17.75,0.0,9.144637,0.0,50400.0
2025-08-15,53.0,26.383333,32.95,20.2,0.5,16.674063,1.0,50400.0
2025-08-16,3.0,20.841667,24.7,17.35,0.0,16.021011,0.0,34915.426
2025-08-17,51.0,17.891666,23.4,12.2,0.2,10.609316,2.0,50400.0
2025-08-18,3.0,18.420835,24.05,11.6,0.0,9.867218,0.0,50400.0
2025-08-19,0.0,20.808332,26.6,13.95,0.0,9.028754,0.0,50304.125
2025-08-20,3.0,19.512499,23.95,14.75,0.0,15.472672,0.0,49498.656
2025-08-21,0.0,17.65,23.55,11.45,0.0,17.81909,0.0,50106.31
2025-08-22,51.0,15.585416,19.6,11.1,0.1,21.43814,1.0,38421.78
2025-08-23,51.0,14.160416,17.45,11.9,1.1000001,23.913593,7.0,36906.926
2025-08-24,3.0,13.831249,18.25,8.4,0.0,17.87718,0.0,43005.305
2025-08-25,51.0,14.589584,18.65,9.95,0.1,17.262177,1.0,34846.375
2025-08-26,3.0,15.502083,21.0,8.95,0.0,8.775807,0.0,48986.016
2025-08-27,3.0,20.187498,27.9,13.3,0.0,11.793777,0.0,48145.746
2025-08-28,63.0,19.55208,21.65,17.55,9.200001,11.525623,12.0,2275.9094
2025-08-29,53.0,18.470833,20.45,16.75,2.3,8.55142,8.0,4740.624
2025-08-30,51.0,18.414583,22.35,14.75,0.2,10.390226,2.0,35472.66
2025-08-31,3.0,18.9625,24.65,12.65,0.0,9.292255,0.0,47062.562
2025-09-01,3.0,20.310417,26.5,14.75,0.0,17.431213,0.0,41930.17
2025-09-02,63.0,17.397915,20.4,15.75,14.099999,9.793058,14.0,13715.057
2025-09-03,3.0,18.645832,23.35,13.95,0.0,17.94411,0.0,43260.14
2025-09-04,3.0,20.797918,26.4,15.85,0.0,12.503199,0.0,40706.984
2025-09-05,61.0,17.877083,19.95,15.95,5.3,15.048042,10.0,18071.191
2025-09-06,51.0,16.685417,20.35,12.95,0.1,10.163227,1.0,43995.402
2025-09-07,0.0,16.425,21.3,11.85,0.0,10.873252,0.0,43682.676
2025-09-08,2.0,16.918749,21.85,11.85,0.0,9.676569,0.0,43657.594
2025-09-09,3.0,18.383333,24.15,12.6,0.0,10.993271,0.0,42930.125
2025-09-10,63.0,18.56875,22.1,15.1,4.9,10.316686,5.0,32089.496
2025-09-11,63.0,17.087502,22.05,13.6,10.100001,17.287498,10.0,40620.992
2025-09-12,63.0,15.379167,19.0,12.45,5.4999995,16.940096,7.0,39600.0
2025-09-13,63.0,14.752084,21.0,10.25,3.3,15.986595,1.0,33961.74
2025-09-14,51.0,15.233335,18.0,12.85,0.9000001,13.379461,7.0,22479.549
2025-09-15,63.0,16.058332,21.25,11.45,5.9,18.978693,11.0,33625.664
2025-09-16,51.0,15.5979185,17.8,13.15,0.3,28.859,3.0,32997.89
2025-09-17,51.0,14.21875,17.8,11.35,0.5,22.228361,4.0,35000.125
2025-09-18,51.0,16.90625,19.35,13.0,0.5,21.438898,3.0,1082.8076
2025-09-19,3.0,19.160418,22.9,15.75,0.0,15.451717,0.0,39600.0
2025-09-20,3.0,20.381248,27.15,15.15,0.0,12.267762,0.0,43200.0
2025-09-21,3.0,19.927082,25.4,15.05,0.0,19.73854,0.0,40368.51
2025-09-22,53.0,12.854167,15.05,10.5,2.0,13.608762,6.0,5696.5454
2025-09-23,51.0,10.887501,15.6,6.2,0.1,11.226575,1.0,42998.555
2025-09-24,1.0,10.806251,15.5,6.4,0.0,19.240644,0.0,42773.95
2025-09-25,51.0,11.131251,14.25,7.65,0.2,23.665035,1.0,36684.773
2025-09-26,51.0,12.102081,15.1,10.25,0.2,19.18246,2.0,25100.715
2025-09-27,3.0,13.081249,17.75,9.5,0.0,16.1017,0.0,42046.664
2025-09-28,2.0,12.162501,17.7,7.55,0.0,11.391313,0.0,41802.414
2025-09-29,1.0,11.218751,16.05,6.95,0.0,13.5012,0.0,40396.562
2025-09-30,3.0,9.354167,13.0,5.5,0.0,12.425216,0.0,38643.367
2025-10-01,51.0,8.708334,12.4,5.25,0.1,12.620554,1.0,27374.332
2025-10-02,2.0,8.589583,14.25,3.9,0.0,6.0347,0.0,39546.52
2025-10-03,3.0,8.220833,13.9,2.5,0.0,11.854062,0.0,37921.793
2025-10-04,63.0,9.352082,12.95,6.5,7.9,24.158253,11.0,0.0
2025-10-05,51.0,11.210415,13.9,8.9,0.6,25.704731,3.0,33968.938
2025-10-06,61.0,11.995833,14.9,10.15,2.5999997,29.314035,6.0,30880.078
2025-10-07,51.0,11.745834,14.85,8.55,1.1,10.805998,5.0,0.0
2025-10-08,53.0,14.020833,15.8,12.65,3.599999,11.700001,19.0,0.0
2025-10-09,51.0,12.9375,14.7,11.6,0.70000005,15.702356,4.0,20001.33
2025-10-10,51.0,13.360415,14.7,11.6,1.4000001,25.591038,11.0,10801.895
2025-10-11,51.0,14.133334,16.3,12.4,0.4,22.543158,4.0,9590.411
2025-10-12,51.0,12.629167,13.9,11.45,0.8,18.673208,5.0,3600.0
2025-10-13,51.0,11.089583,14.0,8.05,0.1,8.777653,1.0,32548.299
2025-10-14,53.0,9.777083,12.65,6.75,2.3000002,13.576582,10.0,0.0
2025-10-15,51.0,11.14375,13.65,8.95,0.2,10.83893,2.0,24194.945
2025-10-16,51.0,11.310417,13.2,9.7,0.70000005,16.368128,6.0,17844.494
2025-10-17,51.0,10.510417,12.5,8.45,0.4,19.33639,4.0,25189.916
2025-10-18,51.0,6.758333,10.25,3.2,0.1,15.4642935,1.0,35942.4
2025-10-19,3.0,4.8250003,10.5,0.35,0.0,15.602999,0.0,31386.662
2025-10-20,3.0,7.75625,12.85,3.25,0.0,16.848999,0.0,32400.0
2025-10-21,51.0,11.639584,15.55,8.55,1.5000001,17.02404,7.0,30278.922
2025-10-22,51.0,12.179169,16.05,9.75,0.4,13.393983,3.0,30373.738
2025-10-23,55.0,12.522919,16.05,9.85,3.5,19.45083,6.0,4640.666
2025-10-24,51.0,10.756249,12.0,8.45,0.1,25.466661,1.0,33551.29
2025-10-25,53.0,9.066666,11.95,6.8,1.5000001,22.218153,3.0,30192.754
2025-10-26,71.0,7.7958336,9.25,4.75,5.9,33.151775,7.0,18000.0
2025-10-26,53.0,7.012501,9.35,5.35,2.7000003,23.795427,9.0,5622.893
2025-10-27,63.0,8.424999,10.0,6.95,7.8,23.242315,6.0,11133.505
2025-10-28,3.0,10.164582,13.6,7.35,0.0,18.709612,0.0,31788.906
2025-10-29,61.0,10.264583,11.7,8.5,7.8999996,32.219997,11.0,23759.328
2025-10-30,3.0,7.920833,11.95,4.05,0.0,14.275713,0.0,24763.422
2025-10-31,55.0,10.372918,15.1,6.2,4.7,15.68584,7.0,24595.207
2025-11-01,51.0,10.954165,12.65,9.3,0.2,12.5032,1.0,1338.4724
2025-11-02,51.0,9.60625,12.0,8.15,0.9,17.47484,4.0,22399.326
2025-11-03,3.0,10.464585,14.1,7.9,0.0,12.984975,0.0,24544.088
2025-11-04,3.0,9.493751,14.8,6.3,0.0,11.866355,0.0,30266.57
2025-11-05,3.0,8.358334,13.65,5.35,0.0,12.996201,0.0,31299.594
2025-11-06,0.0,7.4791665,11.85,5.1,0.0,13.125196,0.0,31100.566
2025-11-07,2.0,4.583333,8.3,1.45,0.0,9.734987,0.0,30731.791
2025-11-08,3.0,4.5875,7.6,1.25,0.0,5.072041,0.0,5338.495
2025-11-09,51.0,7.7312503,10.3,6.05,0.2,9.9587345,2.0,908.3148
2025-11-10,53.0,6.5375,9.8,3.9,1.3000001,11.612441,4.0,7450.3916
2025-11-11,3.0,7.6375003,11.35,4.25,0.0,13.036026,0.0,26893.61
2025-11-12,3.0,10.804166,14.85,7.75,0.0,15.376045,0.0,27281.691
2025-11-13,53.0,9.812499,11.25,7.4,4.1,12.642357,11.0,0.0
2025-11-14,53.0,5.2541666,6.95,4.55,11.400001,19.146112,24.0,0.0
2025-11-15,61.0,6.2354164,9.15,4.9,5.7,13.719023,12.0,12718.284
2025-11-16,75.0,3.2708337,5.5,0.8,7.2,14.913952,7.0,13219.85
