date,today,tomorrow,in 2 days,in 3 days,in 4 days
2026-08-25,3,3,3,1,2
2026-08-24,3,3,2,3,1
2026-08-23,3,3,3,2,3
2026-08-22,2,3,3,3,3
2026-08-21,3,2,2,3,3
2026-08-20,3,3,1,2,3
2026-08-19,1,2,2,2,2
2026-08-18,1,1,2,2,2
2026-08-17,1,1,1,3,3
2026-08-16,3,1,1,1,3
2026-08-15,4,3,3,2,1
2026-08-14,4,3,3,3,3
2026-08-13,3,4,4,3,3
2026-08-12,4,3,4,3,3
2026-08-11,3,4,4,4,3
2026-08-10,3,3,4,4,4
2026-08-09,4,4,3,4,4
2026-08-08,3,4,3,3,4
2026-08-07,3,3,4,3,3
2026-08-06,3,2,3,4,3
2026-08-05,3,3,3,3,3
2026-08-04,4,4,3,3,3
2026-08-03,4,4,4,3,3
2026-08-02,4,4,3,3,3
2026-08-01,3,3,4,3,3
2026-07-31,3,3,4,3,3
2026-07-30,4,3,3,3,4
2026-07-29,4,4,3,3,3
2026-07-28,3,4,4,3,3
2026-07-27,2,3,4,4,3
2026-07-26,3,3,3,4,4
2026-07-25,4,2,3,3,4
2026-07-24,2,3,2,2,3
2026-07-23,3,3,4,3,2
2026-07-22,3,3,3,3,1
2026-07-21,3,2,3,3,3
2026-07-20,2,3,3,3,3
2026-07-19,3,3,3,2,3
2026-07-18,3,3,3,3,2
2026-07-17,4,3,3,3,3
2026-07-16,3,3,3,3,3
2026-07-15,4,3,3,3,3
2026-07-14,3,4,4,3,3
2026-07-13,3,4,4,4,3
2026-07-12,4,4,4,4,4
2026-07-11,4,4,4,4,4
2026-07-10,3,4,4,4,4
2026-07-09,3,3,4,4,4
2026-07-08,2,3,3,4,4
2026-07-07,4,2,3,4,4
2026-07-06,3,4,3,3,4
2026-07-05,3,3,3,3,3
2026-07-04,3,2,3,3,3
2026-07-03,3,3,3,3,3
2026-07-02,3,3,3,3,2
2026-07-01,3,3,3,3,3
2026-06-30,3,3,3,3,4
2026-06-29,3,3,3,3,3
2026-06-28,4,3,3,3,3
2026-06-27,3,4,3,3,3
2026-06-26,4,4,4,3,3
2026-06-25,4,4,4,4,3
2026-06-24,3,4,4,4,4
2026-06-23,3,3,4,4,4
2026-06-22,3,3,4,4,4
2026-06-21,3,3,3,4,4
2026-06-20,4,3,3,4,4
2026-06-19,4,3,3,4,4
2026-06-18,3,4,4,3,4
2026-06-16,3,2,3,4,4
2026-06-15,2,3,3,3,4
2026-06-14,3,2,3,3,3
2026-06-12,1,2,2,2,3
2026-06-11,3,1,2,3,3
2026-06-10,2,2,1,2,3
2026-06-09,2,2,2,1,3
2026-06-08,3,2,2,1,1
2026-06-07,2,3,1,2,2
2026-06-06,2,2,3,1,2
2026-06-05,2,2,2,3,1
2026-06-04,1,1,2,2,3
2026-06-03,2,1,1,2,2
2026-06-02,3,1,1,1,2
2026-06-01,3,3,1,2,1
2026-05-31,1,2,3,1,1
2026-05-30,3,3,3,2,2
2026-05-29,4,3,3,2,1
2026-05-28,3,3,3,2,3
2026-05-27,3,3,4,3,2
2026-05-26,4,3,3,3,3
2026-05-25,3,3,3,3,3
2026-05-24,3,3,4,3,3
2026-05-23,3,3,3,4,3
2026-05-22,3,3,3,4,3
2026-05-21,2,3,3,3,4
2026-05-20,1,3,3,3,3
2026-05-19,2,1,2,3,3
2026-05-18,1,2,1,2,3
2026-05-15,2,2,2,1,2
2026-05-14,1,2,2,2,2
2026-05-13,1,1,1,2,2
2026-05-12,2,1,1,1,2
2026-05-11,1,2,2,1,1
2026-05-10,3,1,2,2,1
2026-05-09,2,3,1,2,2
2026-05-08,2,2,3,1,2
2026-05-07,1,2,3,3,2
2026-05-06,1,1,2,3,3
2026-05-05,1,1,1,2,3
2026-05-04,2,1,1,1,2
2026-05-03,3,3,1,1,2
2026-05-02,3,3,2,1,1
2026-05-01,3,3,3,2,2
2026-04-30,3,3,3,3,2
2026-04-29,3,3,4,3,3
2026-04-28,3,3,4,3,3
2026-04-27,3,3,3,4,3
2026-04-26,3,3,3,3,3
2026-04-24,2,3,3,3,2
2026-04-23,3,2,3,2,3
2026-04-22,3,3,3,3,2
2026-04-21,2,3,3,3,2
2026-04-20,2,2,3,3,2
2026-04-19,1,1,2,3,3
2026-04-18,2,1,1,2,3
2026-04-17,2,2,1,1,2
2026-04-16,2,2,2,2,2
2026-04-15,3,2,2,2,2
2026-04-14,2,3,2,2,2
2026-04-13,2,2,3,2,2
2026-04-12,2,2,2,2,2
2026-04-11,3,2,2,2,2
2026-04-10,2,3,2,2,2
2026-04-09,3,2,3,1,2
2026-04-08,3,3,2,3,1
2026-04-07,3,3,3,1,3
2026-04-06,2,3,3,3,2
2026-04-05,2,2,3,3,3
2026-04-04,2,3,2,3,3
2026-04-03,2,2,3,2,3
2026-04-02,2,2,2,2,2
2026-04-01,2,2,1,2,3
2026-03-31,1,2,2,2,2
2026-03-30,1,1,2,2,2
2026-03-29,1,1,1,2,2
2026-03-28,1,2,1,1,2
2026-03-27,1,1,1,1,1
2026-03-26,1,2,1,1,1
2026-03-25,3,1,2,1,1
2026-03-24,3,1,1,1,1
2026-03-23,2,3,1,1,1
2026-03-22,2,2,3,1,1
2026-03-21,2,2,2,3,3
2026-03-20,2,2,2,2,3
2026-03-19,2,2,2,2,2
2026-03-18,3,2,2,2,2
2026-03-17,1,2,3,2,2
2026-03-16,1,1,2,3,2
2026-03-15,1,1,1,2,3
2026-03-14,1,1,1,1,2
2026-03-13,2,1,1,1,2
2026-03-12,1,2,1,2,1
2026-03-11,2,1,3,1,2
2026-03-10,2,1,2,3,1
2026-03-09,2,2,1,1,2
2026-03-08,2,2,2,2,2
2026-03-07,2,2,2,2,2
2026-03-06,2,2,2,2,2
2026-03-05,3,2,3,3,2
2026-03-04,2,3,3,3,3
2026-03-03,2,2,3,2,2
2026-03-02,2,2,2,2,2
2026-03-01,2,2,2,2,2
2026-02-28,2,2,2,2,2
2026-02-27,2,2,2,2,2
2025-11-03,2,2,1,1,2
2025-11-02,2,2,1,1,2
2025-11-01,2,2,1,1,2
2025-10-31,2,2,1,1,2
2025-10-30,1,2,1,1,1
2025-10-29,1,1,2,2,1
2025-10-28,1,1,1,1,2
2025-10-27,1,1,1,1,1
2025-10-26,1,1,1,1,1
2025-10-24,1,1,1,1,1
2025-10-23,1,2,1,1,1
2025-10-22,1,1,1,1,1
2025-10-21,1,1,1,1,1
2025-10-20,1,1,1,1,1
2025-10-19,2,1,2,1,1
2025-10-18,1,2,1,1,1
2025-10-17,1,1,1,1,1
2025-10-16,1,1,1,2,1
2025-10-15,1,1,1,1,2
2025-10-14,1,1,1,1,2
2025-10-13,1,1,1,1,1
2025-10-12,1,2,1,1,1
2025-10-11,1,2,2,1,1
2025-10-10,1,2,2,2,1
2025-10-09,1,1,1,1,2
2025-10-08,1,1,2,2,2
2025-10-07,1,1,1,2,2
2025-10-04,1,1,1,1,2
2025-10-03,2,2,1,1,1
2025-10-02,2,2,1,1,1
2025-10-01,2,2,2,1,1
2025-09-30,2,2,2,2,1
2025-09-29,2,1,1,2,2
2025-09-28,2,2,1,2,2
2025-09-27,1,2,2,2,2
2025-09-26,2,2,2,2,2
2025-09-25,1,1,1,2,2
2025-09-24,3,1,1,2,2
2025-09-23,2,3,2,2,2
2025-09-22,2,2,2,1,2
2025-09-21,1,2,2,2,1
2025-09-20,3,1,2,2,2
2025-09-19,3,3,1,2,2
2025-09-18,3,3,3,1,2
2025-09-17,2,2,3,3,1
2025-09-16,3,2,2,3,3
2025-09-15,2,3,1,1,3
2025-09-12,2,1,1,2,2
2025-09-11,2,3,1,2,2
2025-09-10,2,2,2,1,1
2025-09-09,1,2,2,2,2
2025-09-08,2,1,1,2,2
2025-09-07,3,1,1,1,2
2025-09-06,2,3,2,1,2
2025-09-05,2,3,3,2,2
2025-09-04,3,3,3,3,3
2025-09-03,3,3,2,3,3
2025-09-02,3,2,2,2,3
2025-09-01,2,2,2,2,2
2025-08-31,2,2,2,2,2
2025-08-29,3,3,1,1,2
2025-08-28,3,3,3,1,1
2025-08-27,3,3,3,2,2
2025-08-26,4,3,3,2,1
2025-08-25,3,3,3,3,2
2025-08-24,3,2,3,3,2
2025-08-23,2,3,3,3,3
2025-08-22,3,3,3,3,3
2025-08-20,3,3,2,2,3
2025-08-19,3,3,3,2,2
2025-08-18,3,3,3,3,2
2025-08-17,2,3,3,3,3
2025-08-15,3,3,3,3,3
2025-08-14,3,3,3,3,3
2025-08-12,4,4,4,4,3
2025-08-11,3,3,4,4,3
2025-08-09,3,3,3,4,4
2025-08-08,3,3,3,4,4
2025-08-07,3,3,3,3,3
2025-08-05,3,3,3,3,3
2025-08-03,2,1,2,3,3
2025-08-01,1,1,2,2,1
2025-07-31,1,1,1,1,2
2025-07-30,3,1,1,1,1
2025-07-29,2,3,1,1,1
2025-07-28,1,2,3,2,1
2025-07-27,2,3,2,2,2
2025-07-26,3,1,1,2,2
2025-07-25,2,3,1,1,2
2025-07-24,3,2,3,1,2
2025-07-22,2,2,3,2,3
2025-07-20,3,3,1,2,1
2025-07-18,3,4,3,1,1
2025-07-17,2,3,3,1,2
2025-07-16,1,2,3,3,3
2025-07-15,3,1,2,3,3
2025-07-14,3,3,1,2,3
2025-07-12,3,3,3,3,2
2025-07-11,3,2,3,3,3
2025-07-10,3,2,3,3,3
2025-07-09,3,3,2,3,3
2025-07-08,3,3,3,3,3
2025-07-07,1,3,3,3,3
2025-07-04,3,3,1,1,1
2025-07-03,3,3,3,2,1
2025-07-02,4,3,3,3,3
2025-07-01,4,4,3,3,3
2025-06-30,4,3,4,3,3
2025-06-29,3,3,4,4,3
2025-06-28,3,3,4,4,4
2025-06-27,2,3,3,4,4
2025-06-26,3,3,3,3,4
2025-06-25,3,1,2,3,3
2025-06-24,3,3,1,3,3
2025-06-23,3,3,3,1,3
2025-06-22,4,2,3,3,1
2025-06-21,3,4,3,3,3
2025-06-20,3,3,4,3,3
2025-06-19,3,3,4,4,3
2025-06-18,3,3,3,4,4
2025-06-17,3,3,3,3,3
2025-06-16,3,3,3,3,3
2025-06-15,1,3,3,3,3
2025-06-14,4,2,3,3,3
2025-06-13,3,4,2,3,3
2025-06-12,3,4,3,3,3
2025-06-11,3,3,3,3,1
2025-06-10,2,3,3,3,3
2025-06-09,2,2,3,3,3
2025-06-08,1,2,2,3,4
2025-06-07,1,1,2,3,3
2025-06-06,2,1,1,2,2
2025-06-05,2,2,1,1,2
2025-06-04,2,2,1,1,1
2025-06-03,3,2,1,1,1
2025-06-02,3,3,3,2,1
